City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
275,Bratsk,RU,2020-07-08 14:27:27,56.13,101.61,66.2,59,54,6.71
276,Turinskaya Sloboda,RU,2020-07-08 14:32:24,57.62,64.39,78.44,71,0,4.34
277,Zhigansk,RU,2020-07-08 14:31:05,66.77,123.37,56.98,56,0,10.16
278,Rabo De Peixe,PT,2020-07-08 14:32:24,37.8,-25.58,71.6,68,75,10.29
279,Bathsheba,BB,2020-07-08 14:30:12,13.22,-59.52,86.0,66,40,23.04
280,Binzhou,CN,2020-07-08 14:32:25,37.37,118.02,81.0,51,100,1.01
281,San Cristobal,VE,2020-07-08 14:27:43,7.77,-72.22,86.0,48,20,20.8
282,Santa Maria,BR,2020-07-08 14:28:34,-29.68,-53.81,49.95,92,100,9.04
283,Ojinaga,MX,2020-07-08 14:32:25,29.57,-104.42,86.0,42,1,8.05
284,Cockburn Town,TC,2020-07-08 14:27:36,21.46,-71.14,86.0,74,40,12.75
285,Bud,US,2020-07-08 14:30:50,39.45,-86.18,86.0,76,0,3.31
286,Ayan,RU,2020-07-08 14:32:04,56.45,138.17,47.79,93,9,6.11
287,Teguise,ES,2020-07-08 14:30:58,29.06,-13.56,84.2,58,0,23.04
288,Vrbove,SK,2020-07-08 14:32:25,48.62,17.72,75.2,36,84,8.05
289,Lagunas,PE,2020-07-08 14:32:26,-5.23,-75.68,76.23,89,81,4.74
290,Krasnoselkup,RU,2020-07-08 14:32:26,65.7,82.47,60.91,70,11,17.05
291,Balotra,IN,2020-07-08 14:32:26,25.83,72.23,96.67,46,68,18.45
292,Nizwa,OM,2020-07-08 14:31:58,22.93,57.53,95.72,30,74,15.97
293,Liverpool,GB,2020-07-08 14:30:01,53.41,-2.98,64.0,82,90,9.17
294,Bijie,CN,2020-07-08 14:32:26,27.31,105.29,68.07,92,100,4.29
295,George Town,MY,2020-07-08 14:29:22,5.41,100.34,80.6,94,40,4.7
296,Atar,MR,2020-07-08 14:32:26,20.52,-13.05,118.36,5,0,14.65
297,Aktau,KZ,2020-07-08 14:30:18,43.65,51.2,92.8,25,0,9.26
298,Hambantota,LK,2020-07-08 14:30:42,6.12,81.12,77.0,100,90,2.24
299,Sobolevo,RU,2020-07-08 14:32:27,54.43,31.9,61.29,76,100,3.71
300,Galle,LK,2020-07-08 14:32:27,6.04,80.22,81.46,86,100,9.53
301,Agadez,NE,2020-07-08 14:32:27,19.75,10.25,105.49,9,0,8.32
302,College,US,2020-07-08 14:30:58,64.86,-147.8,55.4,76,75,6.93
303,Misratah,LY,2020-07-08 14:31:07,32.38,15.09,79.12,67,0,13.56
